time,phase,target_x,target_y,target_z,drone_x,drone_y,drone_z
4.759998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.531,5.456855,1157.863
4.779998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.569,5.468556,1157.839
4.799998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.607,5.48026,1157.816
4.819998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.645,5.491967,1157.792
4.839998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.683,5.503679,1157.769
4.859998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.721,5.515397,1157.745
4.879998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.759,5.527121,1157.722
4.899998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.796,5.538853,1157.698
4.919998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.834,5.550591,1157.675
4.939998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.872,5.562338,1157.651
4.959998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.91,5.574092,1157.628
4.979998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.948,5.585854,1157.604
4.999998,PAUSE_AT_START,1307.06,6.976,1155.06,1302.986,5.597624,1157.581
5.019998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.023,5.609402,1157.557
5.039998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.061,5.621189,1157.534
5.059998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.099,5.632984,1157.51
5.079998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.137,5.644787,1157.487
5.099998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.175,5.656599,1157.463
5.119998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.212,5.668421,1157.44
5.139998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.25,5.680253,1157.416
5.159998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.288,5.692094,1157.393
5.179998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.325,5.703947,1157.37
5.199998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.363,5.71581,1157.346
5.219998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.401,5.727681,1157.323
5.239998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.438,5.739563,1157.299
5.259998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.476,5.751457,1157.276
